Country,"	Date","	Conversion",Search,"	Average Time (s)","	Median Time (s)",Add,"	Average Time (s)","	Median Time (s)",Export,"	Is complete"
"	China","	Feb 12",0,26,163,58,13,0,0,0,True
"	China","	Feb 13",0.083333333,12,366,107,6,1774,1774,1,True
"	China","	Feb 14",0,6,32,32,2,0,0,0,True
"	China","	Feb 15",0.142857143,7,1431,1590,5,4329,4329,1,True
"	China","	Feb 16",0,5,190,190,1,0,0,0,False
"	China","	Feb 17",0.166666667,6,131,31,4,82700,82700,1,False
"	China","	Feb 18",0.25,8,1371,472,3,979,979,2,False
"	United States","	Total",0.103040541,592,1472,99,279,9690,1810,61,
"	United States","	Jan 19",0.125,16,914,43,5,36484,36484,2,True
"	United States","	Jan 20",0.125,16,253,210,7,597,597,2,True
"	United States","	Jan 21",0.083333333,24,6431,49,14,5671,5671,2,True
"	United States","	Jan 22",0.125,24,283,155,14,15851,778,3,True
"	United States","	Jan 23",0.032258065,31,105,58,12,3070,3070,1,True
"	United States","	Jan 24",0.142857143,14,191,120,7,1743,1743,2,True
"	United States","	Jan 25",0.230769231,13,159,110,6,3820,943,3,True
"	United States","	Jan 26",0.058823529,17,168,117,5,4498,4498,1,True
"	United States","	Jan 27",0.2,35,3687,185,19,7570,705,7,True
"	United States","	Jan 28",0.115384615,26,457,131,10,945,544,3,True
"	United States","	Jan 29",0.166666667,30,2147,261,15,1433,878,5,True
"	United States","	Jan 30",0.068965517,29,96,86,14,3783,3783,2,True
"	United States","	Jan 31",0,16,112,112,1,0,0,0,True
"	United States","	Feb 01",0.117647059,17,432,67,11,936,936,2,True
"	United States","	Feb 02",0.034482759,29,6307,52,14,1404,1404,1,True
"	United States","	Feb 03",0.057142857,35,5095,60,19,25534,25534,2,True
"	United States","	Feb 04",0.129032258,31,4427,146,18,25402,7567,4,True
"	United States","	Feb 05",0.131578947,38,4530,163,20,1965,1536,5,True
"	United States","	Feb 06",0.0625,32,2685,238,10,3788,3788,2,True
"	United States","	Feb 07",0.058823529,17,1740,136,5,3043,3043,1,True
"	United States","	Feb 08",0.25,20,1403,107,11,1439,1537,5,True
"	United States","	Feb 09",0.09375,32,482,169,18,774,347,3,True
"	United States","	Feb 10",0.052631579,38,4849,86,17,40654,40654,2,True
"	United States","	Feb 11",0.128205128,39,4325,149,19,19669,4041,5,True
"	United States","	Feb 12",0.1875,32,1205,103,19,15645,3329,6,True
"	United States","	Feb 13",0.111111111,18,285,47,8,458,458,2,True
"	United States","	Feb 14",0.142857143,14,518,62,8,13590,13590,2,True
"	United States","	Feb 15",0.2,10,1593,52,5,24377,24377,2,True
"	United States","	Feb 16",0.128205128,39,478,84,21,2611,1816,5,False
"	United States","	Feb 17",0.162162162,37,8938,91,22,6149,813,6,False
"	United States","	Feb 18",0.05,20,1542,134,9,269,269,1,False
"	Pakistan","	Total",0.01965602,407,1224,80,218,15431,5102,8,
"	Pakistan","	Jan 19",0,15,230,81,10,0,0,0,True
"	Pakistan","	Jan 20",0,21,716,99,13,0,0,0,True
"	Pakistan","	Jan 21",0,16,67,61,7,0,0,0,True
"	Pakistan","	Jan 22",0,31,72,43,21,0,0,0,True
"	Pakistan","	Jan 23",0,28,213,58,16,0,0,0,True
"	Pakistan","	Jan 24",0,11,279,119,6,0,0,0,True
"	Pakistan","	Jan 25",0,12,152,96,7,0,0,0,True
"	Pakistan","	Jan 26",0,25,821,20,22,0,0,0,True
"	Pakistan","	Jan 27",0.034482759,29,98,43,10,1841,1841,1,True
"	Pakistan","	Jan 28",0.066666667,15,2430,136,10,1032,1032,1,True
"	Pakistan","	Jan 29",0,35,2462,41,26,0,0,0,True
"	Pakistan","	Jan 30",0.05,20,183,102,7,84589,84589,1,True
"	Pakistan","	Jan 31",0.285714286,7,93,57,3,2568,2568,2,True
"	Pakistan","	Feb 01",0.142857143,7,262,175,4,25089,25089,1,True
"	Pakistan","	Feb 02",0.071428571,14,134,101,7,106,106,1,True
"	Pakistan","	Feb 03",0,16,172,66,6,0,0,0,True
"	Pakistan","	Feb 04",0,15,82,57,7,0,0,0,True
"	Pakistan","	Feb 05",0,12,173,48,4,0,0,0,True
"	Pakistan","	Feb 06",0.05,20,150,48,11,405,405,1,True
"	Pakistan","	Feb 07",0,9,140,140,2,0,0,0,True
"	Pakistan","	Feb 08",0.166666667,6,3204,879,3,8041,8041,1,True
"	Pakistan","	Feb 09",0.125,16,15258,566,6,8873,8873,2,True
"	Pakistan","	Feb 10",0,18,466,66,6,0,0,0,True
"	Pakistan","	Feb 11",0,15,76,76,8,0,0,0,True
"	Pakistan","	Feb 12",0,15,211,224,9,0,0,0,True
"	Pakistan","	Feb 13",0.058823529,17,238,130,8,6053,6053,1,True
"	Pakistan","	Feb 14",0,13,1563,112,10,0,0,0,True
"	Pakistan","	Feb 15",0,9,183,151,3,0,0,0,True
"	Pakistan","	Feb 16",0.055555556,18,150,42,8,5460,5460,1,False
"	Pakistan","	Feb 17",0,22,2045,93,14,0,0,0,False
"	Pakistan","	Feb 18",0,13,519,39,9,0,0,0,False
"	Philippines","	Total",0.005813953,344,2017,142,115,20392,20392,2,
